package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
210064794731000,20210107,"광화문광장 민원",민원회신,재생정책과-129,박종현,10년,재생정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22003887
210064794744000,20210106,재난및재해관리,"제설대책 2단계 비상근무 지시(2021. 1. 6. 19:20)",예방과-223,민재연,5년,예방과,부분공개,,https://opengov.seoul.go.kr/sanction/
210064794745000,20210110,"[422] 구급팀(구급운영)","[당산] 2021.01.01.(2팀 주간) 구급활동일지",당산119안전센터-112,박지은,3년,당산119안전센터,부분공개,,https://opengov.seoul.go.kr/sanction/
210064794746000,20210107,일반업무관리,"88. 12월 중 소방공무원 인사통계 자료보고(송파)",소방행정과-264,한만선,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21997227
210064794754000,20210106,재난및재해관리,"제설대책 2단계 상향 발령(1단계→2단계)",소방행정과-211,문부현,5년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/21990462
210064794771000,20210107,누수감면관리,"누수요금적용신청 처리결과 알림",행정지원과-400,김미영,10년,행정지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21997228
210064794778000,20210106,재난및재해관리,"제설대책 2단계 발령에 따른 근무 철저 지시",재난관리과-152,고금협,5년,재난관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21990463
210064794782000,20210107,발달장애인평생교육센터설치운영,"2020년 발달장애인평생교육센터 서울시-자치구 합동점검 결과 알림",장애인복지정책과-282,이화연,5년,장애인복지정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21997229
210064794784000,20210107,서울시마을변호사운영,"서울시 마을변호사 신규 배정(홍제1동)",법률지원담당관-239,최현정,5년,법률지원담당관,부분공개,,https://opengov.seoul.go.kr/sanction/
210064794788000,20210107,신종코로나바이러스,"시도소방본부별 코로나19 백신 우선접종대상 인원 제출(서울)",재난대응과-569,조성호,3년,재난대응과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/22003886
210064794821000,20210106,화재발생종합보고서,"화재발생종합보고서 2020-186(광진구 아차산로30길 20)",현장대응단-135,탁성철,영구,현장대응단,부분공개,,https://opengov.seoul.go.kr/sanction/
210064794822000,20210107,누수감면관리,"누수요금적용신청 처리결과 알림",행정지원과-396,김미영,10년,행정지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/21997230
