nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
21096709,주택도시계획,"정비사업전문관리업자 현황(2020.8월 기준)",김예원,주거정비과,20200901145417,"주택ㆍ도시계획>주거환경정비>도시주거환경정비 추진현황>정비사업 전문관리업체 등록현황",02-2133-7197,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21096709
21105948,공통업무,"2020년 8월 서울시립대학교 기획처장 업무추진비 공개 ",김소은,기획과,20200902094638,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6312,"CC BY-ND",https://opengov.seoul.go.kr/public/21105948
21105950,행정,"2020년 8월 유형별 서식민원처리 실적(시본청)",황중섭,시민봉사담당관,20200902095425,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-ND",https://opengov.seoul.go.kr/public/21105950
21114664,안전,"지점별 항목별 수질현황(2020년 7월)",백현지,물순환정책과,20200903092431,"안전>하천수질관리>한강 수질검사 결과>한강 수질검사 결과",02-2133-3779,"CC BY-NC",https://opengov.seoul.go.kr/public/21114664
21148675,공통업무,"2020년 8월 서울시립대학교 입학처장 업무추진비",김은경,입학관리과,20200908000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",026490-6153,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21148675
21156703,공통업무,"2020년 8월 서울시립대학교 연구처장 업무추진비 공개",조준형,"서울시립대학교 연구지원과",20200909193820,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6351,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21156703
21156705,공통업무,"2020년 8월 서울시립대학교 교무처장 업무추진비 사용내역 공개",최선미,"서울시립대학교 교무과",20200909194747,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6108,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21156705
21167400,공통업무,"2020년 8월 서울시립대학교 총장, 행정처장의 업무추진비",유미정,총무과,20200910164553,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6411,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21167400
21196936,행정,"2020년 “동남권아동학대예방센터운영” 민간위탁 종합성과평가 결과",김은경,가족담당관,20200915000000,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 종합성과평가 결과",2133-5183,"CC BY",https://opengov.seoul.go.kr/public/21196936
21212256,행정,"2020년 인재개발원 구내식당 및 직장어린이집 운영 민간위탁 성과평가 결과",김우람,인재기획과,20200917110047,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁 종합성과평가 결과",02-3488-2032,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21212256
21235305,건강,"서울시 동물등록제 현황",송윤경,동물보호과,20200921140649,"건강ㆍ식품>동물관리>동물보호>동물등록제 현황",02-2124-2831,"CC BY-ND",https://opengov.seoul.go.kr/public/21235305
21264504,행정,"'20년 상반기 기관별 성과평가 결과보고",이정우,평가담당관,20200924000000,"행정ㆍ기타>시정운영관리>BSC기반 성과관리>BSC 관리현황",2133-6908,"CC BY-ND",https://opengov.seoul.go.kr/public/21264504
21264505,안전,"2015년 한강수계관리기금 주민지원사업 계획서 및 세부집행내역",백현지,물순환정책과,20200924133134,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3767,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21264505
21264506,안전," 2016년 한강수계관리기금 주민지원사업 계획서 및 세부집행내역  ",백현지,물순환정책과,20200924133453,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3767,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21264506
21264507,안전,"2017년 한강수계관리기금 주민지원사업 계획서 및 세부집행내역  ",백현지,물순환정책과,20200924133625,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3767,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21264507
21264508,안전,"2018년 한강수계관리기금 주민지원사업 계획서 및 세부집행내역  ",백현지,물순환정책과,20200924133831,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3767,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21264508
21264509,안전,"2019년 한강수계관리기금 주민지원사업 계획서 및 세부집행내역  ",백현지,물순환정책과,20200924134023,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3767,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21264509
21264510,안전,"2020년 한강수계관리기금 주민지원사업 계획서",백현지,물순환정책과,20200924134208,"안전>하천수질관리>한강수계관리기금 운용현황>한강수계관리기금 운용현황",02-2133-3767,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21264510
21286032,건강,"제7기 지역보건의료계획 2차년도(2020년) 시행계획 ",성혜란,보건의료정책과,20200928144953,건강ㆍ식품>공공의료>지역보건의료계획>지역보건의료계획,02-2133-7527,"CC BY",https://opengov.seoul.go.kr/public/21286032
21295952,행정,"2020년 3분기 ""서울글로벌창업센터 운영"" 업무추진비 집행내역",최서현,투자창업과,20200929100802,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4886,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21295952
21295953,행정,"2020년 2분기 ""서울글로벌창업센터 운영"" 업무추진비 집행내역",최서현,투자창업과,20200929101148,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4886,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21295953
21295954,행정,"2020년 1분기 ""서울글로벌창업센터 운영"" 업무추진비 집행내역",최서현,투자창업과,20200929102212,"행정ㆍ기타>민간위탁>민간위탁 현황>민간위탁사무 수탁기관 업무추진비 집행내역",02-2133-4886,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/21295954
