nid,title,regist_dt,relm,creat_yr,category,region,isbn,relte_area,writer,doc_prdctn_dt,cpyrht,job_se,url
6410038,"제3기 서울시 지역사회복지계획 수립 연구",20151022000009,정책연구자료,2014,복지,서울시전체,,서울시복지재단,윤희숙,20150127,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410038
6410039,"서울형 지역재단 모델 개발 연구",20151022000013,정책연구자료,2014,복지,서울시전체,978-89-6298-319-7,서울시복지재단,김미현,20150223,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410039
6410040,"서울시 고령친화도시 제1기 실행계획 평가체계 연구",20151022000010,정책연구자료,2014,복지,서울시전체,978-89-6298-317-3,서울시복지재단,정은하,20150128,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410040
6410041,"저소득층 자산형성 지원 사업 성과분석 연구",20151022000015,정책연구자료,2014,복지,서울시전체,978-89-6298-328-9,서울시복지재단,이순성,20150331,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410041
6410042,"독거노인 돌봄유형별 지원체계 연구",20151022000007,정책연구자료,2014,복지,서울시전체,978-89-6298-326-5,서울시복지재단,송인주,20150121,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410042
6410043,"사례관리 성과 분석 및 사례관리자 실천지표 개발",20151022000008,정책연구자료,2014,복지,서울시전체,978-89-6298-327-2,서울시복지재단,송인주,20150121,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410043
6410044,"서울시 노인실태 및 욕구조사 -고령친화 체감도를 중심으로",20151022000011,정책연구자료,2014,복지,서울시전체,978-89-6298-320-3,서울시복지재단,홍주희,20150211,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410044
6410045,"임대지역 주민주도형 경제모델 지원사업 보고서",20151022000016,정책연구자료,2014,복지,서울시전체,978-89-6298-333-3,서울시복지재단,호은지,20150410,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410045
6410046,"금융소외자의 금융서비스 욕구 및 이용실태 분석",20151022000014,정책연구자료,2014,복지,서울시전체,978-89-6298-329-6,서울시복지재단,이순성,20150331,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410046
6410047,"지역중심 복지공동체 활동의 활성화 방안",20151022000018,정책연구자료,2015,복지,서울시전체,978-89-6298-324-1,서울시복지재단,서종녀,20150304,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410047
6410048,"사회복지관 인증모형 개발",20151022000002,정책연구자료,2007,복지,서울시전체,,서울시복지재단,김혜정,20150112,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410048
6410049,"장애인 주·단기 보호서비스 인증 모형개발 연구 자료",20151022000001,정책연구자료,2005,복지,서울시전체,,서울시복지재단,김혜정,20150109,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410049
6410050,"청년일자리 연구보고서",20151022000004,정책연구자료,2009,복지,서울시전체,,서울시복지재단,이순성,20150109,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410050
6410051,"사회복지시설 이용자만족도 조사체계 연구",20151022000005,정책연구자료,2010,복지,서울시전체,,서울시복지재단,김지영,20150109,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410051
6410052,"장애인콜택시 운영실태조사 및 개선방안 연구",20151022000003,정책연구자료,2009,복지,서울시전체,,서울시복지재단,박영민,20150109,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410052
6410053,"알기쉬운 복지법률시리즈-제2편 빚의 대물림 방지권",20151022000019,정책연구자료,2015,복지,서울시전체,978-89-6298-339-5,서울시복지재단,이상훈,20150610,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410053
6410054,"장애인가족 미디어활동 프로그램 매뉴얼(우리집 울타리 넓히기 매뉴얼)",20151022000017,정책연구자료,2014,복지,서울시전체,978-89-6298-334-0,서울시복지재단,유연희,20150915,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410054
6410055,"2014 중도장애인 가족을 위한 가이드북",20151022000012,정책연구자료,2014,복지,서울시전체,978-89-6289-302-9,서울시복지재단,유연희,20150213,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410055
6410056,"서울금융복지상담센터 사례집 ""희망의 문턱에서""-서울금융복지상담센터",20151022000006,정책연구자료,2014,복지,서울시전체,978-89-6298-311-1,서울시복지재단,오문준,20150102,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410056
6410057,"2014 아리수 보고서",20151022000149,정책연구자료,2015,환경,서울시전체,2289-053X,서울물연구원,박창민외8,20150409,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410057
6410058,"2013년 연구결과보고서",20151022000148,정책연구자료,2014,환경,서울시전체,2289-053X,서울물연구원,권학선외7,20140807,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410058
6410059,"2013 아리수 수질조사분석보고서",20151022000147,정책연구자료,2014,환경,서울시전체,2289-0505,서울물연구원,정종순외8,20140521,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410059
6410060,"2012년 연구결과보고서",20151022000144,정책연구자료,2013,환경,서울시전체,,서울물연구원,정종순외9,20140125,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410060
6410061,"2012 아리수 수질조사분석보고서",20151022000146,정책연구자료,2013,환경,서울시전체,,서울물연구원,정종순외11,20140125,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410061
6410062,"2012년 하수도 연구 결과 보고서",20151022000145,정책연구자료,2013,환경,서울시전체,,서울물연구원,최예덕외1,20140125,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410062
6410063,"2011 아리수 연구보고서",20151022000143,정책연구자료,2012,환경,서울시전체,,서울물연구원,허영봉외7,20121011,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410063
6410064,"2011 하수도 연구 결과 보고서",20151022000142,정책연구자료,2012,환경,서울시전체,,서울물연구원,한금석외1,20120904,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410064
6410065,"2010 하수도 연구 결과 보고서",20151022000141,정책연구자료,2011,환경,서울시전체,,서울물연구원,최예덕외3,20110822,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410065
6410066,"2010 상수도 연구집",20151022000140,정책연구자료,2011,환경,서울시전체,,서울물연구원,권학선외12,20110801,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410066
6410067,"서울지역 수도계량기 동파방지 방안 연구",20151022000115,정책연구자료,2007,환경,서울시전체,,서울물연구원,김효일,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410067
6410068,"PE배수관의 누수에 미치는 영향인자 고찰",20151022000114,정책연구자료,2007,환경,서울시전체,,서울물연구원,최재호,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410068
6410069,"에폭시라이닝 세척갱생 배수관의 노후상태 평가",20151022000113,정책연구자료,2007,환경,서울시전체,,서울물연구원,안재찬,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410069
6410070,"에폭시라이닝으로 세척 갱생한 노후 배수관의 생물막 형성 특성",20151022000130,정책연구자료,2007,환경,서울시전체,,서울물연구원,장현정,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410070
6410071,"환상형 반응기에서 인산염 주입에 따른 생물막 형성 특성",20151022000112,정책연구자료,2007,환경,서울시전체,,서울물연구원,장현정,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410071
6410072,"수돗물 부식성 저감을 위한 수산화칼슘 용해 기술",20151022000105,정책연구자료,2007,환경,서울시전체,,서울물연구원,박영복,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410072
